t01,exxEng01AVG,StressEng01AVG,eyyEng01AVG,0,exxHencky01SOI,StressTrue01AVG,SR0Hencky1AVG,eyyHencky01AVG,t02,exxEng02AVG,StressEng02AVG,eyyEng02AVG,0,exxHencky02SOI,StressTrue02AVG,SR0Hencky2AVG,eyyHencky02AVG,t03,exxEng03AVG,StressEng03AVG,eyyEng03AVG,0,exxHencky03SOI,StressTrue03AVG,SR0Hencky3AVG,eyyHencky03AVG
11.8112,0.00762137276,8.915875,-0.0032185609,0,11.8112,0.007609971,8.98382621,0.000173642,11.777,0.00769836921,8.89845833,-0.00323487631,0,11.777,0.00767434701,8.96696195,0.000209352,11.8782,0.00772368627,8.91229167,-0.00320222349,0,11.8782,0.00769295535,8.98112741,7.65e-05
12.0125,0.00772314276,8.91258333,-0.0030902209,0,12.0125,0.007710381,8.98141649,-0.00011448,12.012,0.00767148921,8.89279167,-0.00321766631,0,12.012,0.00764693701,8.96101262,-0.000315979,12.0795,0.00768905627,8.90795833,-0.00318873349,0,12.0795,0.00765916535,8.97645213,-3.26e-05
12.2138,0.00757438276,8.90941667,-0.0032052109,0,12.2138,0.007563881,8.9769,-0.000226335,12.18,0.00756537921,8.889,-0.00347076631,0,12.18,0.00754710701,8.95624866,-0.000119772,12.2809,0.00771063627,8.90570833,-0.00314039349,0,12.2809,0.00767984535,8.97437701,7.07e-05
12.4151,0.00763289276,8.90633333,-0.0031204009,0,12.4151,0.007619271,8.97431442,6.43e-05,12.382,0.00762206921,8.88433333,-0.00331891631,0,12.382,0.00760272701,8.95205034,0.00027897,12.4822,0.00771795627,8.901625,-0.00318805349,0,12.4822,0.00768763535,8.97032735,-6.67e-05
12.6165,0.00760178276,8.90275,-0.0032362109,0,12.6165,0.007589781,8.97042677,0.000122149,12.583,0.00768128921,8.88095833,-0.00330886631,0,12.583,0.00765941701,8.94917554,3.14e-06,12.6835,0.00768317627,8.89729167,-0.00322661349,0,12.6835,0.00765301535,8.96565113,-2.56e-06
12.8178,0.00768101276,8.89941667,-0.0031144909,0,12.8178,0.007668461,8.9677732,0.000123899,12.784,0.00762771921,8.87775,-0.00324720631,0,12.784,0.00760398701,8.94546698,-0.000141184,12.8849,0.00771588627,8.89341667,-0.00319889349,0,12.8849,0.00768661535,8.96203726,6.66e-05
13.0191,0.00765074276,8.89570833,-0.0031181609,0,13.0191,0.007639661,8.96376711,6.4e-05,12.986,0.00762047921,8.87216667,-0.00323579631,0,12.986,0.00760255701,8.93977683,8.1e-05,13.0862,0.00771039627,8.89008333,-0.00309350349,0,13.0862,0.00767984535,8.9586294,4.45e-05
13.2204,0.00770964276,8.89391667,-0.0031546509,0,13.2204,0.007694231,8.96248559,5.13e-05,13.187,0.00765984921,8.86808333,-0.00321575631,0,13.187,0.00763661701,8.93601151,6.65e-05,13.2875,0.00773395627,8.88566667,-0.00314625349,0,13.2875,0.00770454535,8.95438802,4.91e-05
13.4218,0.00767304276,8.889625,-0.0031680009,0,13.4218,0.007660311,8.95783547,-0.000147896,13.388,0.00764708921,8.86383333,-0.00329536631,0,13.388,0.00762931701,8.93161586,-7.87e-05,13.4888,0.00772953627,8.883,-0.00313253349,0,13.4888,0.00769962535,8.95166147,-2.68e-05
13.6231,0.00764611276,8.88645833,-0.0031247109,0,13.6231,0.007634681,8.9544052,-0.000121803,13.589,0.00762760921,8.86029167,-0.00324522631,0,13.589,0.00760494701,8.92787451,-4.74e-05,13.6902,0.00772386627,8.87875,-0.00313093349,0,13.6902,0.00769374535,8.94732828,5.53e-05
13.8244,0.00762270276,8.8825,-0.0031104809,0,13.8244,0.007611271,8.95020866,7.98e-05,13.791,0.00763071921,8.85683333,-0.00335145631,0,13.791,0.00761021701,8.92441734,-2.56e-05,13.8915,0.00775257627,8.87575,-0.00320761349,0,13.8915,0.00772189535,8.94455993,2.8e-05
13.9922,0.00767812276,8.88029167,-0.0031359109,0,13.9922,0.007664141,8.94847564,5.25e-05,13.992,0.00761679921,8.853,-0.00332988631,0,13.992,0.00759462701,8.92043152,-2.43e-05,14.0928,0.00773365627,8.87329167,-0.00313215349,0,14.0928,0.00770501535,8.94191465,-9.3e-05
14.2271,0.00764475276,8.876125,-0.0031201209,0,14.2271,0.007632401,8.94398078,-0.000122472,14.193,0.00762032921,8.84979167,-0.00327809631,0,14.193,0.00760042701,8.91722999,8.26e-05,14.2941,0.00771379627,8.87045833,-0.00318722349,0,14.2941,0.00768445535,8.93888324,3.67e-05
14.3949,0.00762692276,8.8735,-0.0031041309,0,14.3949,0.007614811,8.9411775,-7.76e-05,14.395,0.00764953921,8.84666667,-0.00317932631,0,14.395,0.00762787701,8.91433959,5.94e-05,14.4955,0.00775124627,8.86729167,-0.00311887349,0,14.4955,0.00771977535,8.93602423,6.14e-05
14.5962,0.00761755276,8.87020833,-0.0031406009,0,14.5962,0.007603761,8.93777761,1.63e-05,14.596,0.00764500921,8.84279167,-0.00328734631,0,14.596,0.00762432701,8.91039489,6.68e-05,14.6968,0.00773908627,8.86470833,-0.00314940349,0,14.6968,0.00770919535,8.93331308,-1.49e-05
14.7975,0.00763355276,8.86645833,-0.0032703709,0,14.7975,0.007621361,8.93414091,-7.69e-06,14.797,0.00767619921,8.84054167,-0.00324460631,0,14.797,0.00765475701,8.90840343,-6.56e-05,14.8981,0.00774422627,8.86175,-0.00317885349,0,14.8981,0.00771378535,8.9303774,-6.16e-05
14.9988,0.00761492276,8.86245833,-0.0031763009,0,14.9988,0.007600661,8.92994527,6.65e-05,14.999,0.00761409921,8.83725,-0.00334410631,0,14.999,0.00759792701,8.9045377,-0.000166323,15.0994,0.00771481627,8.859,-0.00314535349,0,15.0994,0.00768441535,8.92734556,3.84e-05
15.2002,0.00766329276,8.85904167,-0.0031411809,0,15.2002,0.007648141,8.9269311,-4.42e-09,15.2,0.00760511921,8.8335,-0.00323043631,0,15.2,0.00758777701,8.90067982,0.000146091,15.3008,0.00775972627,8.85570833,-0.00315423349,0,15.3008,0.00772923535,8.92442621,5.83e-05
